,Birth 1,Birth 2,Birth 3,Birth 4,Death 1,Death 2,Event 1,Event 2
03-Mar,Alexander Graham Bell- 1847,Jessica Biel- 1982,Ronan Keating- 1977,Ian Beattie- 1965,Martin Crowe- 2016,Tommy Page- 2017,1791 - US Mint established,1845 - Florida becomes 27th state
04-Mar,Kenny Dalglish- 1951,Brooklyn Beckham- 1999,Catherine O'Hara- 1954,Erik Lamela- 1992,John Candy- 1994,Joey Martin Feek- 2016,1665 - Charles II declares war on the Netherlands,1789 - 1st US Congress meets
05-Mar,Matt Lucas- 1974,Andy Gibb- 1958,Dan Carter- 1982,Jake Lloyd- 1989,Hugo Chavez- 2013,Paul Bearer- 2013,1917 - Woodrow Wilson inaugrated for a second term,1946 - Churchill's 'Iron Curtain' speech
06-Mar,Shaquille O'Neal- 1972,David Gilmour- 1946,Michaelangelo- 1475,Simon Mignolet- 1988,Nancy Reagan- 2016,Georgia O'Keeffe,1521 - Island of Guam discovered,1869 - Mendeleev presents first periodic table
07-Mar,Bryan Cranston- 1956,Rachel Weisz- 1970,Rik Mayall- 1958,Justin Kelly- 1925,Pee Wee King- 2000,Stanley Kubrick- 1999,1530 - Henry VIII divorce request denied by the pope,1936 - Hitler sends troops to the Rhineland
08-Mar,Freddie Prinze Jr- 1976,James Van Der Beek- 1977,Kristen Halby- 1993,Kenny Smith- 1965,William Howard Taft- 1930,Joe DiMaggio- 1999,1855 - 1st train crosses first railway suspension bridge in US,1920 - Denmark and Cuba join League of Nations
09-Mar,Oscar Isaac- 1979,Clint Dempsey- 1983,Wretch 32- 1985,Klariza Clayton- 1989,Notorious B.I.G- 2017,George Burns- 1996,2011 - SS Discovery makes its 39th- and final- landing,1953 - Josef Stalin buried in Moscow
10-Mar,Chuck Norris- 1940,Jon Hamm- 1971,Sepp Blatter- 1926,Sharon Stone- 1958,Andy Gibb- 1988,Keith Emerson- 2016,1997 - 'Buffy the Vampire Slayer' premieres on television,1978 - The Incredible Hilk premieres on CBS
11-Mar,John Barrowman- 1967,Shane Richie- 1964,Alex Kingston- 1963,Didier Drogba- 1978,Alexander Fleming- 1955,Slobodan Milosevic- 2006,2011 - Japanese earthquake and tsunami ,2006 - Michelle Bachelet becomes first female president of Chile
12-Mar,Liza Minnelli- 1946,Danny Jones- 1986,Mitt Romney- 1947,Coleen Nolan- 1965,Anne Frank- 1956,Terry Pratchett- 2015,2012 - Hunger Games premieres in LA,1958 - British empire day is renamed commonwealth day
13-Mar,Kaya Scodelario- 1992,Common- 1972,Harry Melling- 1989,Naughty Boy- 1985,Susan B Anthony- 1906,Benjamin Harrison- 1901,1943 - Failed assassination attempt on Hitler,2013 - Pope Francis becomes pope
14-Mar,Albert Einstein- 1879,Michael Caine- 1933,Steph Curry- 1988,Billy Crystal- 1948,Karl Marx- 1883,Tony Benn- 2014,1990 - Mikhail Gorbachev becomes president of USSR,2013 - Xi Jinping becomes president of China 
